Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
JOB,WHENEVER I HAVE NOT MET THE DEADLINE,FINANCES,THERE ARE OTHER TIMES I LACK MONEY,FAMILY,I OFTEN FEEL NEGLECTED BY MY FAMILY,YOGA-I OFTEN ATTEND YOGA CLASSES TO RELAX,SPA-I OFTEN GO TO THE SPAR TO RELIEVE MY STRESS,I ALSO SEE A PSYCHOLOGIST WHO HELPS ME COPE WITH MY STRESS
Divorce,"Though I was showing everyone that I am ok, but it was not like that at all, I felt a lot of pain and was broken",depression about relationships,I am very emotional and sensitive person and every time in a relationship there are times when I am in depression and stress.,Moving to a new home,"I was mentally broken while moving to another place, because my whole life I lived in the same house and it stressed me",Praying to God,medicine,trying to control myself by sleeping
work overload,i get stressed when theres a lot to be done,no socializing ,when i dont see my friends regularly ,career concern,about the future of my job,i listen to music,i watch sports,i go out with friends
lateness,when people are late,being interrupted,when people interrupt you,work,having to go to work,breathing,sleeping,smoking
Politics,I am worried and stressed about what the government is doing.,Job hunting,I am currently looking for a job and want to have one to feel secure.,Money,"Related to job hunting, I need to be able to pay my bills.",Knitting,Reading,Being with friends and family
Family,their constant needyness for things they want me to do,cooking,It requires time I don't have,house cleaning,You can't skip it otherwise people will think you're dirty,I try not to think about it,I eat canned food,I don't invite people over
Work Stress,I sometimes get stress due to office politics and short deadlines for a bigger tasks,Financial problem,Because our new house construction we took loan and I am paying more interest for it. I get stress due to my financial situation,Driving ,Some times I get more tensed due to my poor driving skills,I try to make proper plan to tackle this issues. I will always try to be careful when i speak with such colleagues,I am trying to get a new job with better pay,whenever I get free time I go for Driving learning
Work,Large loads,Kids,Managing children,Exercise ,Time management ,Balancing work load ,Balance time with spouse,Go to gym more
Role Ambiguity,"It occurs when the person doesn't know what he is supposed to do, on the job. His tasks and responsibilities are not clear. The employee is not sure what he is expected to do. It creates confusion in the minds of the worker and results in stress.",Rotating Work Shifts,"Stress may occur in those individuals who work on different work shifts. Employees may be expected to work on day shift for some days and then on the night shift. That may create problems in adjusting to the shift timings, and it can affect not only personal life but also family life of the employee.",Career Concern,"If an employee feels that he is very much behind in the corporate ladder, then he may experience stress. If he seems that there are no opportunities for self-growth, he may experience stress. Hence, unfulfilled career expectations are the significant source of stres",Keep a daily stress journal., Learn to say “no,Drink water
family,"My mother has been sick, and this has been very stressful for me. ",work,"Work can be very stressful sometimes, not knowing what to expect. ",life,"Life is so unexpected, we can be here one minute and gone the next. ",Enjoy my mother as much as I can.,Perform my job duties to the best of my ability.,"Do not take life for granted, live it to the max. "
Financial turmoil.,The financial situation that I've been in since 2003 when I had congestive heart failure two weeks after giving birth to my daughter has caused major stress in our lives.,The stress of being unable to work and provide for my family as a single mother. ,The stress of being unable to work and provide for my family like I always have makes for a very very stressful life.,Very poor health starting at a very young age.,"The stress of being in very poor health after my heart failure and then about 6 years ago a surgeon left a surgical sponge behind in my abdomen after an emergency hysterectomy, and it stayed there for 9 weeks before they finally found the problem. I was already septic by this point and they didnt expect me to live through the night.",I just constantly remind myself that things could really be a whole lot worse and thank God that I'm alive.,Spend time laughing and playing with my children.,Watch a good movie or get lost in the online jungle for a little while.
